Pclass,Sex,Age,Fare,Embarked,title,Isalone
3,1,2.0,8.0,1,3.0,1
3,0,2.0,8.0,0,4.0,0
2,1,3.0,30.0,1,3.0,1
3,1,1.0,8.0,0,3.0,1
3,0,1.0,8.0,0,4.0,0
3,1,0.0,8.0,0,3.0,1
3,0,1.0,8.0,1,0.0,1
2,1,1.0,30.0,0,3.0,0
3,0,1.0,8.0,2,4.0,1
3,1,1.0,8.0,0,3.0,0
3,1,1.0,8.0,0,3.0,1
1,1,2.0,870.0,0,3.0,1
1,0,1.0,870.0,0,4.0,0
2,1,3.0,30.0,0,3.0,0
1,0,2.0,870.0,0,4.0,0
2,0,1.0,30.0,2,4.0,0
2,1,2.0,30.0,1,3.0,1
3,1,1.0,8.0,2,3.0,1
3,0,1.0,8.0,0,0.0,0
3,0,2.0,8.0,2,4.0,1
1,1,3.0,870.0,2,3.0,0
3,1,0.0,8.0,0,1.0,0
1,0,2.0,870.0,0,4.0,1
1,1,1.0,870.0,2,3.0,0
1,0,2.0,870.0,2,4.0,0
3,1,3.0,8.0,0,3.0,0
1,0,1.0,870.0,2,0.0,0
3,1,1.0,8.0,2,3.0,1
1,1,2.0,870.0,0,3.0,1
3,1,1.0,8.0,2,3.0,0
2,1,3.0,30.0,0,3.0,0
2,1,1.0,30.0,0,3.0,0
3,0,2.0,8.0,0,4.0,0
3,0,1.0,8.0,0,4.0,0
1,1,1.0,870.0,2,3.0,0
3,1,1.0,8.0,2,3.0,1
3,0,1.0,8.0,0,0.0,1
3,0,1.0,8.0,0,0.0,1
3,1,1.0,8.0,0,3.0,1
3,1,1.0,8.0,0,3.0,1
3,1,2.0,8.0,2,3.0,0
1,1,2.0,870.0,0,3.0,1
3,1,2.0,8.0,0,3.0,1
2,0,1.0,30.0,0,4.0,1
1,0,2.0,870.0,0,4.0,0
3,1,1.0,8.0,0,3.0,1
1,1,2.0,870.0,2,3.0,1
3,1,1.0,8.0,1,3.0,1
1,0,3.0,870.0,2,4.0,1
3,0,2.0,8.0,0,4.0,0
1,1,1.0,870.0,0,3.0,0
2,1,1.0,30.0,2,3.0,1
2,0,1.0,30.0,0,0.0,0
1,0,1.0,870.0,0,0.0,0
2,1,1.0,30.0,2,3.0,1
3,1,0.0,8.0,1,1.0,0
3,1,2.0,8.0,0,3.0,1
3,1,1.0,8.0,0,3.0,1
3,1,1.0,8.0,0,3.0,0
1,0,2.0,870.0,2,0.0,1
3,1,1.0,8.0,0,3.0,1
2,1,1.0,30.0,0,3.0,1
3,1,1.0,8.0,0,3.0,1
3,0,1.0,8.0,1,0.0,1
1,1,0.0,870.0,2,1.0,0
2,0,1.0,30.0,0,4.0,1
3,0,1.0,8.0,1,0.0,1
1,1,2.0,870.0,0,3.0,1
1,1,1.0,870.0,2,3.0,1
1,0,3.0,870.0,0,4.0,0
3,0,1.0,8.0,1,0.0,1
3,1,1.0,8.0,0,3.0,1
3,0,1.0,8.0,0,0.0,1
1,1,1.0,870.0,2,3.0,1
1,0,2.0,870.0,2,0.0,1
1,1,2.0,870.0,2,3.0,1
3,1,1.0,8.0,0,3.0,1
1,0,3.0,870.0,0,4.0,0
2,1,1.0,30.0,0,3.0,1
3,0,1.0,8.0,1,0.0,1
3,1,0.0,8.0,2,1.0,0
1,1,4.0,870.0,0,3.0,0
1,1,3.0,870.0,0,3.0,1
3,1,1.0,8.0,0,3.0,1
2,1,1.0,30.0,1,3.0,1
3,1,1.0,8.0,2,3.0,0
3,0,1.0,8.0,1,0.0,1
3,0,1.0,8.0,0,0.0,1
3,0,1.0,8.0,1,0.0,1
2,1,0.0,30.0,0,1.0,0
3,0,1.0,8.0,0,4.0,0
3,1,1.0,8.0,0,3.0,1
1,0,1.0,870.0,0,4.0,0
3,1,1.0,8.0,0,3.0,1
1,1,1.0,870.0,2,3.0,1
3,1,1.0,8.0,0,3.0,1
1,0,4.0,870.0,0,4.0,0
3,1,1.0,8.0,0,3.0,1
3,0,1.0,8.0,0,0.0,1
3,1,2.0,8.0,0,3.0,1
1,0,2.0,870.0,2,4.0,0
2,1,1.0,30.0,0,3.0,0
3,1,1.0,8.0,1,3.0,1
3,1,1.0,8.0,0,3.0,1
3,0,0.0,8.0,2,4.0,0
3,1,1.0,8.0,0,3.0,1
3,1,1.0,8.0,1,3.0,1
3,1,1.0,8.0,1,3.0,1
3,1,1.0,8.0,0,3.0,1
2,1,1.0,30.0,0,3.0,1
2,1,2.0,30.0,2,3.0,1
3,0,1.0,8.0,1,0.0,1
1,0,2.0,870.0,2,0.0,1
3,0,1.0,8.0,1,0.0,1
1,0,3.0,870.0,0,4.0,0
3,1,1.0,8.0,2,3.0,0
3,1,1.0,8.0,2,3.0,1
3,0,0.0,8.0,0,0.0,0
1,1,2.0,870.0,2,3.0,1
2,0,1.0,30.0,0,4.0,0
2,0,0.0,30.0,0,0.0,1
3,1,1.0,8.0,1,3.0,0
1,0,2.0,870.0,2,4.0,0
3,1,1.0,8.0,0,3.0,1
3,1,1.0,8.0,1,3.0,1
3,0,1.0,8.0,0,0.0,0
3,1,1.0,8.0,0,3.0,1
3,0,1.0,8.0,1,0.0,0
2,1,2.0,30.0,0,3.0,1
3,1,1.0,8.0,0,3.0,1
3,1,1.0,8.0,0,3.0,1
1,1,3.0,870.0,2,5.0,1
3,0,1.0,8.0,0,4.0,0
3,1,1.0,8.0,2,3.0,0
3,1,2.0,8.0,0,3.0,1
3,1,1.0,8.0,0,3.0,1
3,1,1.0,8.0,2,3.0,1
2,1,1.0,30.0,0,3.0,1
3,0,1.0,8.0,0,0.0,1
3,1,2.0,8.0,0,3.0,0
3,0,0.0,8.0,0,0.0,0
1,0,2.0,870.0,0,0.0,1
1,1,3.0,870.0,2,3.0,0
2,1,1.0,30.0,0,3.0,1
1,1,2.0,870.0,0,3.0,1
3,1,1.0,8.0,0,3.0,0
1,1,2.0,870.0,0,3.0,1
3,1,1.0,8.0,0,3.0,1
1,1,2.0,870.0,0,3.0,1
2,1,1.0,30.0,0,5.0,0
1,0,1.0,870.0,2,4.0,0
3,1,1.0,8.0,2,3.0,1
3,1,3.0,8.0,0,3.0,1
3,0,2.0,8.0,0,4.0,0
3,1,0.0,8.0,0,1.0,0
3,1,1.0,8.0,0,3.0,1
1,0,1.0,870.0,0,0.0,1
3,0,1.0,8.0,0,0.0,1
1,1,2.0,870.0,0,3.0,1
3,0,1.0,8.0,0,4.0,0
3,0,1.0,8.0,1,0.0,1
3,1,0.0,8.0,2,1.0,0
2,0,1.0,30.0,0,0.0,1
3,1,1.0,8.0,0,3.0,1
2,1,2.0,30.0,0,5.0,1
3,0,1.0,8.0,0,4.0,0
1,1,2.0,870.0,2,3.0,1
3,1,1.0,8.0,0,3.0,0
1,0,2.0,870.0,2,4.0,1
3,0,1.0,8.0,0,0.0,1
3,1,1.0,8.0,0,3.0,1
3,1,1.0,8.0,2,3.0,1
3,1,1.0,8.0,0,3.0,0
3,1,1.0,8.0,2,3.0,1
3,1,2.0,8.0,0,3.0,0
2,0,0.0,30.0,0,0.0,0
2,0,1.0,30.0,0,0.0,1
1,1,3.0,870.0,2,3.0,0
2,0,2.0,30.0,0,4.0,0
1,0,3.0,870.0,2,4.0,0
2,1,1.0,30.0,0,3.0,1
1,1,2.0,870.0,2,3.0,0
1,0,1.0,870.0,0,4.0,0
3,1,1.0,8.0,1,3.0,1
1,0,1.0,870.0,2,4.0,0
2,1,2.0,30.0,0,3.0,1
2,0,1.0,30.0,0,0.0,0
3,1,1.0,8.0,0,3.0,0
3,0,1.0,8.0,0,0.0,0
2,1,2.0,30.0,0,3.0,1
2,1,2.0,30.0,0,3.0,0
1,1,2.0,870.0,0,3.0,1
3,1,0.0,8.0,0,1.0,0
2,1,3.0,30.0,1,3.0,1
2,1,0.0,30.0,0,1.0,0
3,1,2.0,8.0,0,3.0,1
1,1,0.0,870.0,2,1.0,0
3,0,1.0,8.0,0,0.0,1
2,1,1.0,30.0,0,3.0,1
3,0,1.0,8.0,0,4.0,1
3,0,1.0,8.0,1,0.0,1
3,1,0.0,8.0,0,1.0,0
1,1,2.0,870.0,2,5.0,0
2,0,0.0,30.0,0,0.0,0
2,1,1.0,30.0,0,3.0,1
1,1,2.0,870.0,2,3.0,1
3,0,2.0,8.0,1,0.0,1
2,1,1.0,30.0,0,3.0,1
1,0,2.0,870.0,2,0.0,1
3,1,1.0,8.0,0,3.0,1
3,1,1.0,8.0,0,3.0,1
3,1,1.0,8.0,0,3.0,1
2,1,1.0,30.0,0,3.0,1
2,0,3.0,30.0,0,4.0,0
3,0,2.0,8.0,0,0.0,0
1,1,2.0,870.0,0,3.0,1
3,0,1.0,8.0,1,0.0,1
1,1,3.0,870.0,0,3.0,0
1,0,3.0,870.0,2,4.0,0
3,1,1.0,8.0,0,3.0,1
2,0,1.0,30.0,2,0.0,0
3,1,1.0,8.0,0,3.0,1
2,0,1.0,30.0,0,4.0,1
3,1,1.0,8.0,0,3.0,1
1,0,3.0,870.0,2,4.0,1
3,0,1.0,8.0,2,4.0,0
3,1,1.0,8.0,0,3.0,1
3,0,1.0,8.0,1,0.0,1
3,1,2.0,8.0,0,3.0,1
2,1,2.0,30.0,0,3.0,1
2,1,0.0,30.0,0,3.0,1
1,0,1.0,870.0,0,0.0,1
3,1,1.0,8.0,0,3.0,0
3,1,1.0,8.0,1,3.0,1
1,1,2.0,870.0,2,3.0,0
3,1,1.0,8.0,0,3.0,1
1,1,3.0,870.0,2,3.0,0
3,1,1.0,8.0,2,3.0,1
2,0,1.0,30.0,0,0.0,0
1,0,2.0,870.0,2,4.0,0
1,0,3.0,870.0,2,4.0,1
2,0,2.0,30.0,0,4.0,0
1,1,2.0,870.0,2,3.0,0
3,1,1.0,8.0,0,3.0,1
3,1,1.0,8.0,0,1.0,0
1,1,2.0,870.0,0,3.0,0
2,0,1.0,30.0,0,4.0,1
2,1,2.0,30.0,0,3.0,0
2,0,1.0,30.0,0,4.0,0
3,0,1.0,8.0,2,4.0,0
2,0,0.0,30.0,0,0.0,0
3,1,1.0,8.0,0,3.0,1
1,1,1.0,870.0,2,3.0,0
3,1,1.0,8.0,0,3.0,1
3,1,2.0,8.0,0,3.0,1
3,1,1.0,8.0,0,3.0,1
3,1,1.0,8.0,1,3.0,1
3,1,1.0,8.0,0,3.0,1
2,0,1.0,30.0,0,0.0,1
3,1,1.0,8.0,0,3.0,1
3,1,2.0,8.0,0,3.0,0
3,1,1.0,8.0,0,3.0,1
2,0,1.0,30.0,0,4.0,0
3,0,0.0,8.0,0,0.0,0
2,1,1.0,30.0,2,3.0,1
3,1,1.0,8.0,0,3.0,1
1,1,2.0,870.0,0,3.0,1
3,1,1.0,8.0,0,3.0,1
3,0,1.0,8.0,0,0.0,1
3,1,1.0,8.0,0,3.0,1
1,1,2.0,870.0,2,3.0,1
3,1,1.0,8.0,1,3.0,1
1,0,1.0,870.0,2,4.0,0
3,0,1.0,8.0,1,0.0,0
3,1,1.0,8.0,2,3.0,1
2,0,1.0,30.0,0,0.0,0
2,1,1.0,30.0,0,3.0,1
2,1,2.0,30.0,0,3.0,0
2,1,1.0,30.0,0,3.0,0
2,1,1.0,30.0,0,3.0,1
3,0,1.0,8.0,0,0.0,1
3,1,0.0,8.0,0,1.0,0
3,0,1.0,8.0,1,0.0,1
3,0,0.0,8.0,2,0.0,0
3,0,0.0,8.0,0,0.0,0
3,1,2.0,8.0,0,3.0,1
3,1,1.0,8.0,0,3.0,1
1,1,1.0,870.0,0,3.0,0
3,1,1.0,8.0,2,3.0,1
3,1,1.0,8.0,0,3.0,1
1,1,2.0,870.0,0,3.0,1
3,0,1.0,8.0,1,0.0,1
3,1,1.0,8.0,2,3.0,1
1,1,3.0,870.0,0,5.0,0
3,1,2.0,8.0,0,3.0,1
3,1,1.0,8.0,0,3.0,1
2,0,0.0,30.0,2,0.0,0
3,1,1.0,8.0,2,3.0,0
1,1,1.0,870.0,0,3.0,1
3,1,1.0,8.0,0,3.0,1
3,1,1.0,8.0,0,3.0,1
2,1,1.0,30.0,2,3.0,1
2,1,2.0,30.0,0,3.0,0
3,1,1.0,8.0,0,3.0,1
3,0,1.0,8.0,1,0.0,1
1,0,3.0,870.0,0,4.0,0
1,1,1.0,870.0,0,3.0,0
3,1,0.0,8.0,0,1.0,0
1,1,3.0,870.0,0,3.0,0
3,0,2.0,8.0,0,4.0,0
3,1,1.0,8.0,0,3.0,1
3,1,1.0,8.0,2,3.0,1
3,1,1.0,8.0,0,3.0,1
3,0,2.0,8.0,1,0.0,1
1,0,3.0,870.0,2,4.0,1
3,0,1.0,8.0,1,0.0,1
1,1,3.0,870.0,2,3.0,0
2,1,1.0,30.0,0,3.0,1
3,1,1.0,8.0,0,3.0,1
2,1,1.0,30.0,0,3.0,0
3,1,1.0,8.0,0,3.0,1
3,1,1.0,8.0,2,3.0,1
2,1,1.0,30.0,0,3.0,1
1,1,2.0,870.0,0,3.0,1
1,0,2.0,870.0,0,0.0,1
3,1,1.0,8.0,0,3.0,1
2,0,0.0,30.0,0,0.0,0
1,1,2.0,870.0,2,3.0,1
2,1,1.0,30.0,0,3.0,0
2,1,1.0,30.0,0,3.0,1
2,0,2.0,30.0,0,4.0,0
1,1,2.0,870.0,2,3.0,1
3,1,1.0,8.0,2,3.0,1
3,0,1.0,8.0,2,4.0,0
3,1,1.0,8.0,0,3.0,1
1,1,1.0,870.0,0,3.0,1
2,1,1.0,30.0,0,3.0,1
3,1,2.0,8.0,2,3.0,0
2,1,1.0,30.0,0,3.0,1
3,1,1.0,8.0,2,1.0,1
2,1,1.0,30.0,0,3.0,1
3,1,1.0,8.0,0,3.0,1
3,1,1.0,8.0,0,3.0,0
1,0,3.0,870.0,2,4.0,0
3,1,1.0,8.0,0,1.0,0
3,0,0.0,8.0,0,0.0,1
2,1,1.0,30.0,0,3.0,1
3,0,2.0,8.0,2,4.0,1
2,1,1.0,30.0,0,3.0,1
2,0,1.0,30.0,0,0.0,1
1,0,2.0,870.0,2,4.0,0
2,1,1.0,30.0,0,3.0,1
2,1,1.0,30.0,0,3.0,1
2,1,3.0,30.0,0,3.0,0
3,0,0.0,8.0,0,0.0,0
1,1,3.0,870.0,0,3.0,1
1,0,3.0,870.0,0,4.0,0
3,1,1.0,8.0,0,3.0,1
3,1,1.0,8.0,1,3.0,1
3,0,1.0,8.0,0,4.0,0
3,1,0.0,8.0,0,1.0,0
2,0,1.0,30.0,2,4.0,0
2,0,1.0,30.0,0,4.0,1
3,1,1.0,8.0,0,3.0,1
1,0,1.0,870.0,2,4.0,0
3,0,1.0,8.0,0,4.0,0
3,1,1.0,8.0,2,3.0,0
3,0,1.0,8.0,0,0.0,1
1,0,2.0,870.0,2,4.0,0
2,1,1.0,30.0,2,3.0,1
2,1,1.0,30.0,0,3.0,0
1,0,1.0,870.0,2,0.0,1
1,1,3.0,870.0,0,3.0,1
2,1,2.0,30.0,0,3.0,1
1,0,3.0,870.0,0,4.0,0
1,0,2.0,870.0,2,0.0,1
3,0,1.0,8.0,0,0.0,0
2,1,1.0,30.0,0,3.0,1
1,1,3.0,870.0,0,3.0,1
3,1,0.0,8.0,0,1.0,0
3,1,1.0,8.0,1,3.0,1
3,1,1.0,8.0,1,3.0,1
3,0,1.0,8.0,0,4.0,1
3,0,1.0,8.0,0,4.0,0
2,1,1.0,30.0,0,3.0,1
2,0,1.0,30.0,0,0.0,0
3,1,1.0,8.0,0,3.0,1
2,1,3.0,30.0,0,3.0,1
3,1,1.0,8.0,1,3.0,1
3,1,0.0,8.0,0,1.0,0
1,1,1.0,870.0,0,3.0,1
1,0,3.0,870.0,0,4.0,0
3,1,0.0,8.0,0,1.0,0
2,1,2.0,30.0,0,3.0,1
3,1,1.0,8.0,0,3.0,0
1,0,1.0,870.0,0,4.0,0
3,1,1.0,8.0,1,3.0,1
1,0,2.0,870.0,2,4.0,0
3,1,1.0,8.0,0,3.0,1
3,1,1.0,8.0,1,3.0,1
1,0,1.0,870.0,0,0.0,1
2,1,2.0,30.0,0,3.0,0
1,0,1.0,870.0,2,0.0,0
1,1,1.0,870.0,0,3.0,1
1,1,2.0,870.0,2,3.0,0
2,1,1.0,30.0,2,3.0,1
2,1,1.0,30.0,0,3.0,0
1,1,3.0,870.0,2,3.0,0
3,0,1.0,8.0,1,0.0,1
3,0,0.0,8.0,0,0.0,0
3,0,1.0,8.0,1,0.0,1
1,0,2.0,870.0,1,4.0,0
3,0,1.0,8.0,0,0.0,1
3,1,1.0,8.0,0,3.0,1
1,0,2.0,870.0,2,0.0,1
3,1,2.0,8.0,0,3.0,1
3,1,1.0,8.0,0,3.0,1
3,1,1.0,8.0,2,1.0,0
